lgas,general facility attendance,general outpatient attendance,antenatal attendance total, caesarean section,pregnacy outcome-birth asphyxia,pregnacy outcome--neonatal-jaundice,pregnacy outcome—neonatal-sepsis,pregnacy outcome-neonatal-taetanus nhmis,pregnacy outcome-discharged newborns after kmc,pregnacy outcome-newborns placed on kmc,utilization facility attendance , ututilization outpatient attendance,incubators,oral pill cycle  (packets),sterilization total,iucd inserted,implant,female 15-49 yrs using mod contraceptives,fp clients counserlled,new fp acceptors,functional beds,inpatient days – total ,inpatient discharges – total,inpatient admissions,antenatal total attendance,ancsyphilis case treated,anc syphilis test done,pregnant women  receiving llin,pregnant women receiving  hematinic,pregnant women who received malaria ipt1,women who received malaria ipt2,assisted,caesarean section,complications,hiv positive women,normal,deliveries by  skilled birth attendant,deliveries monitors partogran,live birth by hiv positive women,post natal visit total,hepatitis b vaccine 0  birth,bcg,oral polio vaccine 0 given,oral polio vaccine  1 given,oral polio vaccine  2 given,oral polio vaccine  3 given,pentavalent  vaccine 1 given,pnetavmococal vaccine (pcv) 2,pnetavmococal vaccine (pcv) 3,pnetavmococal vaccine (pcv) 2 ,pnetavmococal vaccine (pcv) 2.2,yellow fever vaccine given,inactivated polio vaccine (ipv)n,conjugate a csm vaccine given,measles vaccine 1 given,fully immunized children under 1 year,tetanue toxoid dose 2,tetanue toxoid dose 1 3,tetanue toxoid dose 5,children 0-59 months weighed,children 0-6 months  exclusivelly  breastfed,children 12-59 month given deworming medication,vitamin a children 12-59 months (200.000iu) ,"vitamin a children 6-11 months (100,000iu) ",art patients receiving arv refill ,hiv positive receiving cotrimoxazole  prophylaxis version 2013 ,hiv couples counseled tested & receiving results seroi,indiviuals hiv counseled tested and received  results,new arthritis,new cases of asthma,new mdiabetes mellitus case,new hypertension case,new sickle cell disease case,anc women with previously known hiv status (at anc),pregnant women who received  hiv counseling  and testing and result (at anc),individual clinically screened  for tb,individuals clinically screened for tb score 1+ (tb  suspects),individuals started on tb treatment (hiv unknown),individuals started on tb treatment ((hiv-ve),registered tb patients screened for hiv,tb patients with hiv  receiving art,confirmed dr-tb patients enrolled for treatment,dr-tb suspects tested for dr-tb,suspects screened for tb,tb cases (call forms) notifed
9,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.021664050235478804,0.019373587342589604,0.013245033112582783,0.055,0.03869047619047619,0.009694258016405666,0.01639344262295082,0.02122641509433962,0.03734238603297769,0.04157549234135667
16,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.0017268445839874408,0.004520503713270906,0.013245033112582783,0.015000000000000001,0.020089285714285712,0.0022371364653243847,0.00273224043715847,0.018867924528301886,0.018913676042677015,0.0007293946024799417
2,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.021664050235478804,0.019373587342589604,0.013245033112582783,0.055,0.03869047619047619,0.009694258016405666,0.01639344262295082,0.02122641509433962,0.03734238603297769,0.04157549234135667
11,0.11841589568901997,0.08526738307208356,0.04644459174078584,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.03029827315541601,0.07717145624798191,0.039735099337748346,0.125,0.08110119047619048,0.015659955257270694,0.046448087431693985,0.030660377358490566,0.1411251212415131,0.1684901531728665
3,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.021664050235478804,0.019373587342589604,0.013245033112582783,0.055,0.03869047619047619,0.009694258016405666,0.01639344262295082,0.02122641509433962,0.03734238603297769,0.04157549234135667
19,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.0002616431187859759,0.0009686793671294801,0.013245033112582783,0.0175,0.002976190476190476,0.0007457121551081282,0.01639344262295082,0.02122641509433962,0.0009699321047526674,0.001458789204959883
11,0.1567912100709725,0.06293370021839456,0.05190140736515962,0.0,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.13219080262782062,0.04685099464517444,0.07692307692307693,0.1474023358840113,0.00611545988258317,0.0,0.0350576121598431,0.06323547627895454,0.06505539565508811,0.07123514367383782,0.14885342631084886,0.023785161950450377,0.031177020084072863,0.018713139106913218,0.04774067371124993,0.05030181086519115,0.027309448542325254,0.16795012834616796,0.03956840077071291,0.11756351585923938,0.1433810481485863,0.0015923566878980893,0.0,0.0026595744680851063,0.017857142857142856,0.0071973827699018545,0.00551768906199286,0.009309856304391824,0.028409090909090905,0.022140665423259733,0.07935140802875973,0.2979734341366095,0.07831907772406099,0.4002203452074918,0.3008683068017366,0.39753969501650693,0.39368421052631575,0.30873946323030715,0.39617366297879136,0.22492163009404387,0.4479942032804163,0.3447827500270885,0.33445200584195645,0.02204103574948481,0.34381189010118474,0.18238424501321363,0.11561011359472333,0.21329582161092006,0.30948988315759474,0.1897367789797626,0.09325059503570214,0.3599026559307775,0.2433286477368569,0.3009521827358343,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.05328467153284671,0.03754266211604096,0.04040404040404041,0.07037037037037037,0.0130718954248366,0.023168908819133034,0.02700515828866188,0.021664050235478804,0.019373587342589604,0.013245033112582783,0.055,0.03869047619047619,0.009694258016405666,0.01639344262295082,0.02122641509433962,0.03734238603297769,0.04157549234135667
16,0.019376902248768788,0.004761936565394812,0.007121606831809844,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.0,0.0,0.0,0.0044444444444444444,0.0023718091127402745,0.0035450237909380646,0.038461538461538464,0.3902537253322594,0.03816046966731898,0.025439127801332527,0.29517038489825936,0.08082497212931995,0.06631707605567164,0.09666014743493305,0.07281748692503687,0.005149537883489609,0.009691732835123774,0.00771584408673673,0.005341817969525367,0.01609657947686117,0.0032490340709518794,0.03520352035203521,0.005610789980732177,0.0,0.016562167277889506,0.004777070063694268,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.0031624863685932388,0.0,0.0004047763610605141,0.017045454545454544,0.01666566391913844,0.11282953864589573,0.06352706462960048,0.12275939010784678,0.09298567756151303,0.10318379160636759,0.09436409369595976,0.09415607985480944,0.10599748086425734,0.09645724327994568,0.06176294969398417,0.18160858968447402,0.09733810091378627,0.07933252540318822,0.02204103574948481,0.0984480213172014,0.19150707743547044,0.08519604250641259,0.2086068563092633,0.3696209746366486,0.10724545257750658,0.02588405304318259,0.0,0.0,0.0,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.014598540145985401,0.005119453924914676,0.02126528442317916,0.019444444444444445,0.0130718954248366,0.006477329347284504,0.0029331445332254477,0.021664050235478804,0.019373587342589604,0.013245033112582783,0.055,0.03869047619047619,0.009694258016405666,0.01639344262295082,0.02122641509433962,0.03734238603297769,0.04157549234135667
18,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.0052851909994767144,0.002583144979011947,0.0,0.0025,0.002976190476190476,0.009694258016405666,0.01639344262295082,0.02122641509433962,0.0067895247332686705,0.04157549234135667
4,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.01878597592883307,0.008072328059412335,0.013245033112582783,0.01,0.003720238095238095,0.0,0.00273224043715847,0.004716981132075472,0.0033947623666343357,0.003646973012399708
12,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.021664050235478804,0.019373587342589604,0.013245033112582783,0.055,0.03869047619047619,0.009694258016405666,0.01639344262295082,0.0,0.004364694471387003,0.003646973012399708
13,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.005180533751962323,0.022279625443978043,0.0,0.045,0.011904761904761904,0.0007457121551081282,0.0,0.02122641509433962,0.04704170708050436,0.01823486506199854
1,1.0,0.08978888525268985,0.06064156120419897,0.0081145584725537,0.11864406779661017,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.03249607535321821,0.11591863093316113,0.013245033112582783,0.295,0.16294642857142858,0.04399701715137956,0.11475409836065574,0.02122641509433962,0.3040737148399612,0.33260393873085337
12,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.022396650968079537,0.03616402970616726,0.0,0.015000000000000001,0.011904761904761904,0.0037285607755406414,0.0,0.009433962264150943,0.018913676042677015,0.031363967906637494
12,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.021664050235478804,0.019373587342589604,0.013245033112582783,0.055,0.03869047619047619,0.009694258016405666,0.01639344262295082,0.02122641509433962,0.03734238603297769,0.04157549234135667
2,0.03863734600043448,0.025766551569836166,0.019931250289026252,0.0081145584725537,0.008474576271186442,0.014492753623188406,0.013262599469496022,0.0,0.0,0.0044444444444444444,0.024458620288383214,0.02017630651280037,0.038461538461538464,0.03262182843334676,0.03816046966731898,0.05632949727437916,0.017651385143417502,0.02415458937198068,0.027835823837874068,0.017150594253046488,0.01568995574627866,0.01543183991143466,0.01687295656235404,0.014855217063544854,0.02063751532488762,0.01609657947686117,0.024587284861257466,0.02566923359002567,0.019776493256262042,0.026747672400189364,0.025198154501360467,0.02229299363057325,0.016706443914081145,0.010638297872340425,0.017857142857142856,0.01603053435114504,0.02012333657903278,0.023679417122040074,0.017045454545454544,0.049335178388785275,0.0060665068903535055,0.0,0.007363332093715133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09113365390949213,0.0,0.0,0.02204103574948481,0.0,0.06968830322557287,0.006779039941370468,0.03740752318432843,0.0396124251923625,0.13118926287583155,0.05735719143148589,0.05235999278932821,0.047920532283759726,0.07573234819709662,0.01859015688802923,0.014978967887555145,0.0,0.0025018012969337915,0.022627737226277367,0.025597269624573378,0.03242955874534822,0.030092592592592594,0.0130718954248366,0.009715994020926757,0.02306058460604835,0.021664050235478804,0.019373587342589604,0.013245033112582783,0.055,0.03869047619047619,0.009694258016405666,0.01639344262295082,0.02122641509433962,0.03734238603297769,0.04157549234135667
